ERROR 2024-03-05 20:11:53,833 basehttp 14040 18488 "GET /admin/ HTTP/1.1" 500 59
ERROR 2024-03-05 20:12:09,974 basehttp 14040 18488 "GET /admin/ HTTP/1.1" 500 59
INFO 2024-03-05 20:13:27,893 autoreload 14040 20740 G:\DjangoProject\luffy\luffyapi\luffyapi\settings\dev.py changed, reloading.
INFO 2024-03-05 20:13:30,000 autoreload 11028 21488 Watching for file changes with StatReloader
INFO 2024-03-05 20:13:34,929 autoreload 4752 8084 Watching for file changes with StatReloader
INFO 2024-03-05 20:13:38,510 basehttp 4752 19712 "GET /admin/ HTTP/1.1" 200 2997
INFO 2024-03-05 20:13:38,549 basehttp 4752 19712 "GET /static/admin/css/base.css HTTP/1.1" 200 16378
INFO 2024-03-05 20:13:38,557 basehttp 4752 7824 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
INFO 2024-03-05 20:13:38,560 basehttp 4752 13560 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17944
INFO 2024-03-05 20:13:38,587 basehttp 4752 13560 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2024-03-05 20:13:38,599 basehttp 4752 7824 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2024-03-05 20:13:38,600 basehttp 4752 13560 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2024-03-05 20:13:38,669 basehttp 4752 19712 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2024-03-05 20:13:38,669 basehttp 4752 13560 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2024-03-05 20:13:38,670 basehttp 4752 7824 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2024-03-05 20:13:48,189 basehttp 4752 19712 "GET /admin/auth/user/ HTTP/1.1" 200 6641
INFO 2024-03-05 20:13:48,228 basehttp 4752 19712 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6170
INFO 2024-03-05 20:13:48,242 basehttp 4752 7824 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 20:13:48,245 basehttp 4752 19712 "GET /static/admin/js/actions.js HTTP/1.1" 200 6766
INFO 2024-03-05 20:13:48,247 basehttp 4752 13560 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 271817
INFO 2024-03-05 20:13:48,250 basehttp 4752 7824 "GET /static/admin/js/urlify.js HTTP/1.1" 200 8941
INFO 2024-03-05 20:13:48,259 basehttp 4752 13560 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1530
INFO 2024-03-05 20:13:48,261 basehttp 4752 19712 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
INFO 2024-03-05 20:13:48,265 basehttp 4752 10480 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
INFO 2024-03-05 20:13:48,276 basehttp 4752 10480 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2024-03-05 20:13:48,277 basehttp 4752 19712 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2024-03-05 20:13:48,282 basehttp 4752 7240 "GET /static/admin/js/core.js HTTP/1.1" 200 7099
INFO 2024-03-05 20:13:48,290 basehttp 4752 7912 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6918
INFO 2024-03-05 20:13:48,323 basehttp 4752 7912 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2024-03-05 20:13:48,326 basehttp 4752 7240 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2024-03-05 20:13:50,766 basehttp 4752 7240 "GET /admin/auth/ HTTP/1.1" 200 2874
INFO 2024-03-05 20:17:42,959 autoreload 6432 2364 Watching for file changes with StatReloader
INFO 2024-03-05 20:18:50,869 autoreload 8572 11052 Watching for file changes with StatReloader
INFO 2024-03-05 20:18:55,679 basehttp 8572 18164 "GET /admin/auth/ HTTP/1.1" 200 2874
INFO 2024-03-05 20:18:57,851 basehttp 8572 18164 "GET /admin/auth/ HTTP/1.1" 200 2874
